=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 20:16:47 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
0
61996,1,3,58,65,92,71
62083,1,3,54,65,91,72
62171,1,3,53,66,88,71
62261,1,3,53,66,87,70
62351,1,3,55,66,92,70
62441,1,3,53,67,90,72
62531,1,3,55,66,94,71
62621,1,3,54,67,89,72
62711,1,3,55,66,91,70
62801,1,3,54,66,88,71
62891,1,3,54,65,88,74
62981,1,3,58,66,101,72
63071,1,3,53,67,90,70
63161,1,3,57,67,91,70
63250,1,3,53,67,87,70
63340,1,3,56,66,88,71
63430,1,3,58,66,101,71
63520,1,3,56,66,96,71
63610,1,3,55,67,95,71
63700,1,3,53,67,90,70
63790,1,3,53,66,90,71
63880,1,3,54,67,92,70
63970,1,3,56,65,96,73
64060,1,3,55,67,92,70
64150,1,3,54,66,93,71
64239,1,3,56,66,94,70
64329,1,3,55,66,91,70
64419,1,3,55,66,91,72
64509,1,3,55,66,92,70
64599,1,3,55,66,92,70
64689,1,3,56,66,97,70
64778,1,3,54,65,92,71
64867,1,3,57,64,96,74
64957,1,3,55,66,88,71
65046,1,3,57,66,96,71
65135,1,3,58,67,94,70
65225,1,3,57,66,96,71
65315,1,3,54,65,91,74
65404,1,3,54,66,90,71
65494,1,3,60,64,90,72
65583,1,3,60,65,84,74
65671,1,3,50,68,100,74
65760,1,3,51,67,102,73
65845,1,3,49,58,99,91
65931,1,3,53,59,107,90
66018,1,3,58,54,109,100
66105,1,3,62,53,120,101
66193,1,3,65,53,128,102
66279,1,3,70,71,134,66
66367,1,3,71,52,141,103
66456,0,-1,-1,-1,-1,-1
66543,0,-1,-1,-1,-1,-1
66625,0,-1,-1,-1,-1,-1
66710,0,-1,-1,-1,-1,-1
66800,0,-1,-1,-1,-1,-1
66891,0,-1,-1,-1,-1,-1
66981,0,-1,-1,-1,-1,-1
67071,0,-1,-1,-1,-1,-1
67161,0,-1,-1,-1,-1,-1
67250,0,-1,-1,-1,-1,-1
67336,0,-1,-1,-1,-1,-1
67423,0,-1,-1,-1,-1,-1
67503,0,-1,-1,-1,-1,-1
67593,0,-1,-1,-1,-1,-1
67683,1,3,78,40,138,70
67766,1,3,85,49,84,89
67847,1,3,68,55,130,90
67936,1,3,86,47,83,93
68025,1,3,61,52,118,103
68114,1,3,57,52,113,103
68196,1,3,53,58,107,92
68280,1,3,53,52,97,103
68363,1,3,49,53,97,100
68447,1,3,48,52,94,102
68534,1,3,47,53,93,101
68620,1,3,46,51,92,98
68706,1,3,46,58,92,90
68794,1,3,46,53,91,87
68879,1,3,45,65,89,78
68969,1,3,48,65,92,78
69059,1,3,46,64,91,80
69150,1,3,49,52,99,103
69240,1,3,56,52,108,103
69330,1,3,63,52,114,103
69419,1,3,65,54,131,92
69508,1,3,75,54,132,91
69597,1,3,78,50,140,99
69687,0,-1,-1,-1,-1,-1
69777,0,-1,-1,-1,-1,-1
69867,0,-1,-1,-1,-1,-1
69954,0,-1,-1,-1,-1,-1
70040,1,3,79,52,137,95
70130,1,3,71,52,117,95
70220,1,3,67,50,116,99
70307,1,3,75,47,76,82
70398,1,3,52,52,101,102
70488,1,3,47,57,93,91
70578,1,3,49,52,89,98
