=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.02 16:23:14 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
24
104178,1,3,133,138,134,124
104358,1,3,132,138,136,124
104538,1,3,132,139,136,122
104718,1,3,132,139,136,122
104898,1,3,132,140,136,124
105078,1,3,132,140,136,124
105258,1,3,132,140,136,124
105439,1,3,132,140,136,124
105619,1,3,131,140,138,124
105799,1,3,131,140,134,124
105979,1,3,132,140,136,124
106159,1,3,132,139,136,122
106339,1,3,133,133,134,118
106519,1,3,133,125,134,118
106699,1,3,133,117,134,122
106879,1,3,132,116,136,124
107059,1,3,132,114,136,124
107239,1,3,133,110,134,124
107420,1,3,133,109,134,126
107600,1,3,132,108,132,124
107780,1,3,133,106,134,124
107960,1,3,134,100,132,124
108140,1,3,134,97,132,126
108320,1,3,133,93,134,126
108500,1,3,132,92,132,128
108680,1,3,188,93,260,126
108860,1,3,181,91,274,126
109040,0,-1,-1,-1,-1,-1
109220,0,-1,-1,-1,-1,-1
109400,0,-1,-1,-1,-1,-1
109581,1,3,65,81,102,130
109761,1,3,59,80,98,124
109941,1,3,53,76,98,128
110121,1,3,52,77,104,134
110301,1,3,58,75,116,134
110481,1,3,68,74,128,140
110661,1,3,93,71,138,134
110841,1,3,118,69,132,126
111021,1,3,141,64,126,124
111201,1,3,166,64,120,128
111381,1,3,183,64,118,128
111562,1,3,194,65,120,130
111742,1,3,204,66,116,132
111922,1,3,211,66,118,132
112102,1,3,215,68,118,132
112282,1,3,218,68,120,132
112462,1,3,211,69,118,130
112642,1,3,194,66,124,128
112822,1,3,171,66,126,128
113002,1,3,150,65,128,130
113182,1,3,133,69,130,130
113362,1,3,117,69,134,134
113543,1,3,102,71,136,134
113723,1,3,89,71,134,138
113903,1,3,73,70,122,136
114083,1,3,57,73,106,126
114263,1,3,50,75,88,118
114443,1,3,143,73,286,122
114623,0,-1,-1,-1,-1,-1
114803,0,-1,-1,-1,-1,-1
114983,0,-1,-1,-1,-1,-1
115163,1,3,53,69,106,138
115343,1,3,66,68,132,136
115524,0,-1,-1,-1,-1,-1
115704,1,3,183,67,270,134
115884,1,3,200,70,236,132
116064,1,3,217,73,202,130
116244,1,3,229,71,178,126
116424,1,3,232,67,172,126
116604,1,3,233,63,170,126
116784,1,3,232,63,172,126
116964,1,3,221,62,194,124
117144,1,3,195,66,246,132
117324,0,-1,-1,-1,-1,-1
117504,1,3,68,71,112,134
117685,1,3,54,78,84,116
117865,0,-1,-1,-1,-1,-1
118045,0,-1,-1,-1,-1,-1
118225,0,-1,-1,-1,-1,-1
118405,0,-1,-1,-1,-1,-1
118585,0,-1,-1,-1,-1,-1
118765,1,3,53,68,106,136
118945,1,3,67,69,134,138
119125,1,3,90,65,144,130
119305,1,3,111,65,150,130
119486,1,3,125,64,150,128
119666,1,3,140,61,148,122
119846,1,3,155,60,142,120
120026,1,3,176,57,132,114
120206,1,3,230,54,176,108
120386,1,3,218,52,116,104
120566,1,3,234,52,160,104
120746,1,3,196,53,128,106
120926,1,3,171,57,134,114
121106,1,3,142,60,148,120
121286,1,3,120,61,156,122
121467,1,3,100,59,156,118
121647,1,3,79,58,142,116
121827,1,3,60,54,120,108
122007,1,3,50,54,100,108
122187,1,3,45,55,90,110
122367,1,3,49,59,98,118
122547,1,3,64,62,128,124
122727,0,-1,-1,-1,-1,-1
122907,1,3,135,48,138,96
123087,1,3,174,50,124,100
123267,1,3,201,52,114,104
123447,1,3,216,55,112,110
123628,1,3,219,62,114,124
123808,1,3,222,105,116,126
123988,1,3,226,125,112,118
124168,1,3,225,128,114,116
124348,1,3,220,122,116,116
124528,1,3,194,114,120,120
124708,1,3,162,116,128,124
124888,1,3,135,116,130,128
125068,1,3,109,112,134,132
125248,1,3,84,102,128,124
125428,1,3,67,90,106,128
125608,1,3,53,89,82,114
125789,0,-1,-1,-1,-1,-1
125969,0,-1,-1,-1,-1,-1
126149,1,3,59,84,118,144
126329,0,-1,-1,-1,-1,-1
126509,1,3,196,95,244,130
126689,1,3,183,98,126,124
126869,1,3,204,102,108,120
127049,1,3,221,101,106,118
127229,1,3,229,101,110,118
127409,1,3,223,103,118,118
127590,1,3,197,103,118,122
127770,1,3,160,104,128,132
127950,1,3,125,107,138,142
128130,1,3,100,103,144,142
128310,1,3,83,97,122,134
128490,1,3,70,93,96,126
128670,1,3,60,94,88,120
128850,1,3,47,91,86,126
129030,1,3,142,93,284,126
129210,0,-1,-1,-1,-1,-1
129390,1,3,52,92,104,148
129571,1,3,69,92,138,148
129751,1,3,104,99,148,142
129931,1,3,197,98,242,128
130111,1,3,172,98,128,124
130291,1,3,187,100,118,124
130471,1,3,198,101,116,122
130651,1,3,207,97,114,118
130831,1,3,216,96,112,120
131011,1,3,231,85,158,134
131191,1,3,189,91,118,122
131371,1,3,159,90,126,120
131552,1,3,134,71,128,110
131732,1,3,115,47,126,94
131912,1,3,106,34,124,68
132092,1,3,100,29,128,58
132272,1,3,100,29,128,58
132452,1,3,106,35,128,70
132632,1,3,114,47,132,94
132812,1,3,176,63,248,126
132992,1,3,180,80,252,128
133172,1,3,181,85,250,142
133352,1,3,184,95,252,138
133533,1,3,131,102,142,136
133713,1,3,134,102,140,132
133893,1,3,135,102,138,132
134073,1,3,135,101,138,130
134253,1,3,134,91,136,122
134433,1,3,132,73,132,114
134613,1,3,129,52,130,104
134793,1,3,126,43,128,86
134973,1,3,123,38,130,76
135153,1,3,122,33,128,66
135333,1,3,120,30,128,60
135513,1,3,118,28,128,56
135693,1,3,118,25,128,50
135874,1,3,122,31,128,62
136054,1,3,125,45,130,90
136234,1,3,128,58,132,116
136414,1,3,132,68,132,124
136594,1,3,136,77,132,126
136774,1,3,140,85,132,126
136954,1,3,144,91,132,126
137134,1,3,144,91,132,126
137314,1,3,144,87,132,122
137495,1,3,141,74,130,116
137675,1,3,137,63,134,118
137855,1,3,134,50,136,100
138035,1,3,127,37,130,74
138215,1,3,119,27,126,54
138395,1,3,115,16,126,32
138575,1,3,117,13,130,26
138755,1,3,123,28,130,56
138935,1,3,128,47,136,94
139115,1,3,132,59,140,118
139295,1,3,136,68,140,136
139476,1,3,138,81,140,134
139656,1,3,139,89,138,134
139836,1,3,140,92,136,132
140016,1,3,138,94,136,132
140196,1,3,132,82,136,124
140376,1,3,128,68,136,120
140556,1,3,125,59,134,118
140736,1,3,125,49,130,98
140916,1,3,189,41,258,82
141096,1,3,126,36,128,72
141276,1,3,126,30,128,60
141456,1,3,127,26,126,52
141636,1,3,130,24,128,48
141817,1,3,130,35,128,70
141997,1,3,128,50,132,100
142177,1,3,129,61,138,122
142357,1,3,131,73,138,130
142537,1,3,191,85,254,130
142717,1,3,190,96,256,136
142897,1,3,193,95,250,130
143077,1,3,193,93,250,130
143257,1,3,191,80,254,120
143437,1,3,128,62,132,116
143618,1,3,125,48,130,96
143798,1,3,121,37,130,74
143978,1,3,118,25,128,50
144158,1,3,116,16,128,32
144338,1,3,183,32,262,64
144518,1,3,116,13,128,26
144698,1,3,116,23,132,46
144878,1,3,114,35,132,70
145058,1,3,117,48,138,96
145238,1,3,119,61,142,122
145418,1,3,122,65,144,130
145599,1,3,124,70,140,136
145779,1,3,124,78,144,136
145959,1,3,125,83,142,138
146139,1,3,124,93,144,142
146319,1,3,127,98,142,136
146499,1,3,129,95,138,134
146679,1,3,129,90,138,132
146859,1,3,129,84,138,128
147039,1,3,126,68,136,124
147219,1,3,121,55,134,110
147399,1,3,120,45,132,90
147579,1,3,117,36,130,72
147760,1,3,115,25,130,50
147940,1,3,112,19,132,38
148120,1,3,181,33,274,66
148300,1,3,180,31,276,62
148480,1,3,109,6,134,12
148660,1,3,114,14,132,28
148840,1,3,118,39,136,78
149020,1,3,117,64,150,128
149200,1,3,122,74,152,148
149380,1,3,125,83,154,150
149561,1,3,130,85,144,138
149741,1,3,131,84,142,136
149921,1,3,127,66,138,120
150101,1,3,126,50,132,100
150281,1,3,123,38,130,76
150461,1,3,122,25,128,50
150641,1,3,117,15,130,30
150821,1,3,114,8,132,16
151001,0,-1,-1,-1,-1,-1
151181,0,-1,-1,-1,-1,-1
151361,1,3,115,14,134,28
151541,1,3,119,33,134,66
151721,1,3,124,48,140,96
151902,1,3,128,57,140,114
152082,1,3,127,65,146,130
152262,1,3,129,67,146,134
152442,1,3,130,67,144,134
152622,1,3,124,68,132,136
152802,1,3,119,70,130,140
152982,1,3,119,70,126,136
153162,1,3,142,64,132,128
153342,1,3,147,59,158,118
153523,1,3,146,58,196,116
153703,1,3,146,59,236,118
153883,1,3,133,63,266,126
154063,1,3,130,75,244,150
154243,1,3,136,80,172,160
