=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 22:56:39 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,1,1,44,12,8,8
186761,1,1,44,12,8,8
186992,1,1,44,12,8,8
187224,1,1,44,12,8,8
187456,1,1,44,12,8,8
187688,1,1,44,12,8,8
187919,1,1,44,12,8,8
188151,1,1,44,12,8,8
188382,1,1,44,12,8,8
188615,1,1,44,12,8,8
188846,1,1,44,12,8,8
189077,1,1,44,12,8,8
189309,1,1,44,12,8,8
189541,1,1,44,12,8,8
189773,1,1,44,12,8,8
190005,1,1,44,12,8,8
190236,1,1,44,12,8,8
190468,1,1,44,12,8,8
190699,1,1,44,12,8,8
190931,1,1,44,12,8,8
191163,1,1,44,12,8,8
191394,1,1,44,12,8,8
191625,1,1,44,12,8,8
191857,1,1,44,12,8,8
192089,1,1,44,12,8,8
192321,1,1,44,12,8,8
192552,1,1,44,12,8,8
192783,1,1,44,12,8,8
193016,1,1,44,12,8,8
193248,1,1,44,12,8,8
193479,1,1,44,12,8,8
193710,1,1,44,12,8,8
193941,1,1,44,12,8,8
194174,1,1,44,12,8,8
194406,1,1,44,12,8,8
194637,1,1,44,12,8,8
194869,1,1,44,12,8,8
195101,1,1,44,12,8,8
195333,1,1,44,12,8,8
195565,1,1,44,12,8,8
195796,1,1,44,12,8,8
196027,1,1,44,12,8,8
196259,1,1,44,12,8,8
196491,1,1,44,12,8,8
196723,1,1,44,12,8,8
196954,1,1,44,12,8,8
197186,1,1,44,12,8,8
197418,1,1,44,12,8,8
197650,1,1,44,12,8,8
197882,1,1,44,12,8,8
198113,1,1,44,12,8,8
198344,1,1,44,12,8,8
198576,1,1,44,12,8,8
198808,1,1,44,12,8,8
199039,1,1,44,12,8,8
199270,1,1,44,12,8,8
199502,1,1,44,12,8,8
199734,1,1,44,12,8,8
199966,1,1,44,12,8,8
200197,1,1,44,12,8,8
200428,1,1,44,12,8,8
200660,1,1,44,12,8,8
200892,1,1,44,12,8,8
201124,1,1,44,12,8,8
201356,1,1,44,12,8,8
201587,1,1,44,12,8,8
201818,1,1,44,12,8,8
202051,1,1,44,12,8,8
202283,1,1,44,12,8,8
202514,1,1,44,12,8,8
202746,1,1,44,12,8,8
202977,1,1,44,12,8,8
203210,1,1,44,12,8,8
203442,1,1,44,12,8,8
203673,1,1,44,12,8,8
203904,1,1,44,12,8,8
204136,1,1,44,12,8,8
204368,1,1,44,12,8,8
204600,1,1,44,12,8,8
204831,1,1,44,12,8,8
205063,1,1,44,12,8,8
205295,1,1,44,12,8,8
205527,1,1,44,12,8,8
205758,1,1,44,12,8,8
205989,1,1,44,12,8,8
206221,1,1,44,12,8,8
206452,1,1,44,12,8,8
206684,1,1,44,12,8,8
206916,1,1,44,12,8,8
207147,1,1,44,12,8,8
207378,1,1,44,12,8,8
207611,1,1,44,12,8,8
207843,1,1,44,12,8,8
208074,1,1,44,12,8,8
208305,1,1,44,12,8,8
208537,1,1,44,12,8,8
208769,1,1,44,12,8,8
209001,1,1,44,12,8,8
209232,1,1,44,12,8,8
209464,1,1,44,12,8,8
209695,1,1,44,12,8,8
209928,1,1,44,12,8,8
210160,1,1,44,12,8,8
210391,1,1,44,12,8,8
210622,1,1,44,12,8,8
210854,1,1,44,12,8,8
211086,1,1,44,12,8,8
211318,1,1,44,12,8,8
2
