=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:26:02 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:43600, ID:1, X:124, Y:132, W:82, H:82
Time:43654, ID:1, X:125, Y:131, W:82, H:82
Time:43708, ID:1, X:125, Y:131, W:82, H:82
Time:43762, ID:1, X:125, Y:131, W:82, H:82
Time:43816, ID:1, X:125, Y:131, W:82, H:82
Time:43870, ID:1, X:126, Y:131, W:82, H:82
Time:43924, ID:1, X:126, Y:131, W:82, H:82
Time:43978, ID:1, X:126, Y:131, W:82, H:82
Time:44032, ID:1, X:125, Y:131, W:82, H:82
Time:44086, ID:1, X:125, Y:131, W:82, H:82
Time:44140, ID:1, X:126, Y:131, W:82, H:82
Time:44194, ID:1, X:126, Y:131, W:82, H:82
Time:44248, ID:1, X:126, Y:131, W:82, H:82
Time:44302, ID:1, X:126, Y:131, W:82, H:82
Time:44356, ID:1, X:126, Y:131, W:82, H:82
Time:44410, ID:1, X:126, Y:131, W:82, H:82
Time:44464, ID:1, X:126, Y:131, W:82, H:82
Time:44518, ID:1, X:126, Y:131, W:82, H:82
Time:44572, ID:1, X:126, Y:131, W:82, H:82
Time:44626, ID:1, X:126, Y:131, W:82, H:82
Time:44680, ID:1, X:126, Y:132, W:82, H:82
Time:44734, ID:1, X:126, Y:132, W:82, H:82
Time:44788, ID:1, X:126, Y:132, W:82, H:82
Time:44842, ID:1, X:126, Y:132, W:82, H:82
Time:44896, ID:1, X:125, Y:132, W:82, H:82
Time:44950, ID:1, X:125, Y:132, W:82, H:82
Time:45004, ID:1, X:125, Y:132, W:82, H:82
Time:45058, ID:1, X:125, Y:132, W:82, H:82
Time:45112, ID:1, X:125, Y:132, W:82, H:82
Time:45166, ID:1, X:125, Y:132, W:82, H:82
Time:45220, ID:1, X:125, Y:132, W:82, H:82
Time:45274, ID:1, X:125, Y:132, W:82, H:82
Time:45328, ID:1, X:126, Y:132, W:82, H:82
Time:45382, ID:1, X:126, Y:132, W:82, H:82
Time:45436, ID:1, X:126, Y:132, W:82, H:82
Time:45490, ID:1, X:126, Y:132, W:82, H:82
Time:45544, ID:1, X:126, Y:132, W:82, H:82
Time:45598, ID:1, X:126, Y:132, W:82, H:82
Time:45652, ID:1, X:126, Y:132, W:82, H:82
Time:45706, ID:1, X:126, Y:132, W:82, H:82
Time:45760, ID:1, X:126, Y:132, W:82, H:82
Time:45814, ID:1, X:126, Y:132, W:82, H:82
Time:45868, ID:1, X:126, Y:132, W:82, H:82
Time:45922, ID:1, X:126, Y:131, W:82, H:82
Time:45976, ID:1, X:126, Y:131, W:82, H:82
Time:46030, ID:1, X:125, Y:131, W:82, H:82
Time:46084, ID:1, X:125, Y:131, W:82, H:82
Time:46138, ID:1, X:125, Y:131, W:82, H:82
