=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:18:03 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:67689, ID:1, X:160, Y:134, W:70, H:70
Time:67743, ID:1, X:160, Y:134, W:70, H:70
Time:67797, ID:1, X:160, Y:134, W:70, H:70
Time:67851, ID:1, X:160, Y:134, W:70, H:70
Time:67905, ID:1, X:160, Y:134, W:70, H:70
Time:67959, ID:1, X:160, Y:134, W:70, H:70
Time:68013, ID:1, X:160, Y:134, W:70, H:70
Time:68067, ID:1, X:160, Y:134, W:70, H:70
Time:68121, ID:1, X:160, Y:134, W:70, H:70
Time:68175, ID:1, X:160, Y:134, W:70, H:70
Time:68229, ID:1, X:160, Y:134, W:70, H:70
Time:68283, ID:1, X:160, Y:134, W:70, H:70
Time:68337, ID:1, X:160, Y:134, W:70, H:70
Time:68391, ID:1, X:160, Y:134, W:70, H:70
Time:68445, ID:1, X:160, Y:134, W:70, H:70
Time:68499, ID:1, X:160, Y:134, W:70, H:70
Time:68553, ID:1, X:160, Y:134, W:70, H:70
Time:68607, ID:1, X:160, Y:134, W:70, H:70
Time:68661, ID:1, X:160, Y:135, W:70, H:70
Time:68715, ID:1, X:160, Y:135, W:70, H:70
Time:68769, ID:1, X:160, Y:135, W:70, H:70
Time:68823, ID:1, X:160, Y:136, W:70, H:70
Time:68877, ID:1, X:160, Y:136, W:70, H:70
Time:68931, ID:1, X:160, Y:137, W:70, H:70
Time:68985, ID:1, X:160, Y:137, W:70, H:70
Time:69039, ID:1, X:160, Y:137, W:70, H:70
Time:69093, ID:1, X:160, Y:137, W:70, H:70
Time:69147, ID:1, X:160, Y:137, W:70, H:70
Time:69201, ID:1, X:160, Y:136, W:70, H:70
Time:69255, ID:1, X:160, Y:136, W:70, H:70
Time:69309, ID:1, X:160, Y:134, W:70, H:70
Time:69363, ID:1, X:160, Y:134, W:70, H:70
Time:69417, ID:1, X:160, Y:133, W:70, H:70
Time:69471, ID:1, X:160, Y:133, W:70, H:70
Time:69525, ID:1, X:160, Y:132, W:70, H:70
Time:69579, ID:1, X:160, Y:132, W:70, H:70
Time:69633, ID:1, X:160, Y:132, W:70, H:70
Time:69687, ID:1, X:160, Y:132, W:70, H:70
Time:69741, ID:1, X:160, Y:132, W:70, H:70
Time:69795, ID:1, X:160, Y:132, W:70, H:70
Time:69849, ID:1, X:160, Y:132, W:70, H:70
Time:69903, ID:1, X:160, Y:132, W:70, H:70
Time:69957, ID:1, X:160, Y:132, W:70, H:70
Time:70011, ID:1, X:160, Y:132, W:70, H:70
Time:70065, ID:1, X:160, Y:132, W:70, H:70
Time:70119, ID:1, X:160, Y:131, W:70, H:70
Time:70173, ID:1, X:160, Y:131, W:70, H:70
Time:70227, ID:1, X:160, Y:131, W:70, H:70
Time:70281, ID:1, X:160, Y:131, W:70, H:70
Time:70335, ID:1, X:160, Y:131, W:70, H:70
Time:70389, ID:1, X:160, Y:131, W:70, H:70
Time:70443, ID:1, X:160, Y:131, W:70, H:70
Time:70497, ID:1, X:160, Y:131, W:70, H:70
Time:70551, ID:1, X:160, Y:131, W:70, H:70
Time:70605, ID:1, X:160, Y:131, W:70, H:70
Time:70659, ID:1, X:160, Y:131, W:70, H:70
Time:70713, ID:1, X:160, Y:131, W:70, H:70
Time:70767, ID:1, X:160, Y:131, W:70, H:70
Time:70821, ID:1, X:160, Y:131, W:70, H:70
Time:70875, ID:1, X:160, Y:130, W:70, H:70
Time:70929, ID:1, X:160, Y:130, W:70, H:70
Time:70983, ID:1, X:160, Y:130, W:70, H:70
Time:71037, ID:1, X:160, Y:130, W:70, H:70
Time:71091, ID:1, X:160, Y:130, W:70, H:70
Time:71145, ID:1, X:160, Y:130, W:70, H:70
Time:71199, ID:1, X:160, Y:129, W:70, H:70
Time:71253, ID:1, X:160, Y:129, W:70, H:70
Time:71307, ID:1, X:160, Y:129, W:70, H:70
Time:71361, ID:1, X:160, Y:129, W:70, H:70
Time:71415, ID:1, X:160, Y:129, W:70, H:70
Time:71469, ID:1, X:160, Y:128, W:70, H:70
Time:71523, ID:1, X:160, Y:128, W:70, H:70
Time:71577, ID:1, X:160, Y:127, W:70, H:70
Time:71631, ID:1, X:160, Y:127, W:70, H:70
