=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 22:58:16 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,12,8,8
20482,1,1,44,12,8,8
20714,1,1,44,12,8,8
20946,1,1,44,12,8,8
21178,1,1,44,12,8,8
21410,1,1,44,12,8,8
21641,1,1,44,12,8,8
21873,1,1,44,12,8,8
22105,1,1,44,12,8,8
22336,1,1,44,12,8,8
22567,1,1,44,12,8,8
,1,1,44,12,8,8
23031,1,1,44,12,8,8
23262,1,1,44,12,8,8
23494,1,1,44,12,8,8
23726,1,1,44,12,8,8
23957,1,1,44,12,8,8
24189,1,1,44,12,8,8
24421,1,1,44,12,8,8
24652,1,1,44,12,8,8
24883,1,1,44,12,8,8
25115,1,1,44,12,8,8
25347,1,1,44,12,8,8
25578,1,1,44,12,8,8
25810,1,1,44,12,8,8
26042,1,1,44,12,8,8
26273,1,1,44,12,8,8
26505,1,1,44,12,8,8
26736,1,1,44,12,8,8
26968,1,1,44,12,8,8
27200,1,1,44,12,8,8
27431,1,1,28,12,8,8
27662,0,-1,-1,-1,-1,-1
27894,1,1,20,12,8,8
28125,1,1,44,12,8,8
28356,1,1,52,12,8,8
28588,1,1,60,12,8,8
28820,1,1,64,12,16,8
29051,1,1,44,12,8,8
29283,1,1,28,12,8,8
29515,1,1,28,12,8,8
29747,1,1,52,12,8,8
29977,1,1,76,12,8,8
30209,0,-1,-1,-1,-1,-1
30441,0,-1,-1,-1,-1,-1
30672,1,1,28,12,8,8
30905,1,1,28,12,8,8
31136,1,1,52,12,8,8
31367,1,1,60,16,8,16
31599,1,1,60,16,8,16
31830,1,1,60,16,8,16
32063,1,1,60,12,8,8
32294,1,1,60,12,8,8
32525,1,1,60,12,8,8
32756,1,1,28,12,8,8
32988,0,-1,-1,-1,-1,-1
33219,1,1,76,20,8,8
33451,1,1,84,20,8,8
33682,1,1,68,12,8,8
33913,1,1,52,12,8,8
34145,1,1,44,12,8,8
34377,0,-1,-1,-1,-1,-1
34608,0,-1,-1,-1,-1,-1
34840,1,1,28,12,8,8
35071,0,-1,-1,-1,-1,-1
35302,1,1,28,12,8,8
35534,1,1,28,12,8,8
