=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 11:17:01 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
0,-1,-1,-1,-1,-1
71561,0,-1,-1,-1,-1,-1
71793,0,-1,-1,-1,-1,-1
72025,0,-1,-1,-1,-1,-1
72257,0,-1,-1,-1,-1,-1
72489,0,-1,-1,-1,-1,-1
72721,0,-1,-1,-1,-1,-1
72953,0,-1,-1,-1,-1,-1
73184,0,-1,-1,-1,-1,-1
73416,0,-1,-1,-1,-1,-1
73648,0,-1,-1,-1,-1,-1
73881,0,-1,-1,-1,-1,-1
74112,0,-1,-1,-1,-1,-1
74344,0,-1,-1,-1,-1,-1
74576,0,-1,-1,-1,-1,-1
74808,0,-1,-1,-1,-1,-1
75040,0,-1,-1,-1,-1,-1
75272,0,-1,-1,-1,-1,-1
75503,0,-1,-1,-1,-1,-1
75735,0,-1,-1,-1,-1,-1
75967,0,-1,-1,-1,-1,-1
76200,0,-1,-1,-1,-1,-1
76431,0,-1,-1,-1,-1,-1
76663,0,-1,-1,-1,-1,-1
76895,0,-1,-1,-1,-1,-1
77127,0,-1,-1,-1,-1,-1
77359,0,-1,-1,-1,-1,-1
77591,0,-1,-1,-1,-1,-1
77822,0,-1,-1,-1,-1,-1
78054,0,-1,-1,-1,-1,-1
78286,0,-1,-1,-1,-1,-1
78519,0,-1,-1,-1,-1,-1
78751,0,-1,-1,-1,-1,-1
78982,0,-1,-1,-1,-1,-1
79214,0,-1,-1,-1,-1,-1
79446,0,-1,-1,-1,-1,-1
79678,0,-1,-1,-1,-1,-1
79910,0,-1,-1,-1,-1,-1
80141,0,-1,-1,-1,-1,-1
80374,0,-1,-1,-1,-1,-1
80605,0,-1,-1,-1,-1,-1
80838,0,-1,-1,-1,-1,-1
81070,0,-1,-1,-1,-1,-1
81301,0,-1,-1,-1,-1,-1
81533,0,-1,-1,-1,-1,-1
81766,1,2,20,28,8,8
81998,0,-1,-1,-1,-1,-1
82230,0,-1,-1,-1,-1,-1
82462,0,-1,-1,-1,-1,-1
82693,0,-1,-1,-1,-1,-1
82926,0,-1,-1,-1,-1,-1
83158,0,-1,-1,-1,-1,-1
83390,0,-1,-1,-1,-1,-1
83622,0,-1,-1,-1,-1,-1
83853,0,-1,-1,-1,-1,-1
84087,0,-1,-1,-1,-1,-1
84319,0,-1,-1,-1,-1,-1
84551,0,-1,-1,-1,-1,-1
84782,0,-1,-1,-1,-1,-1
85014,0,-1,-1,-1,-1,-1
85247,0,-1,-1,-1,-1,-1
85478,0,-1,-1,-1,-1,-1
85711,0,-1,-1,-1,-1,-1
85943,0,-1,-1,-1,-1,-1
86175,0,-1,-1,-1,-1,-1
86408,0,-1,-1,-1,-1,-1
86639,0,-1,-1,-1,-1,-1
86871,0,-1,-1,-1,-1,-1
87103,0,-1,-1,-1,-1,-1
87335,0,-1,-1,-1,-1,-1
87567,0,-1,-1,-1,-1,-1
87798,0,-1,-1,-1,-1,-1
88030,0,-1,-1,-1,-1,-1
88262,0,-1,-1,-1,-1,-1
88494,0,-1,-1,-1,-1,-1
88726,0,-1,-1,-1,-1,-1
88957,0,-1,-1,-1,-1,-1
89190,0,-1,-1,-1,-1,-1
89421,0,-1,-1,-1,-1,-1
89653,0,-1,-1,-1,-1,-1
89885,0,-1,-1,-1,-1,-1
90117,0,-1,-1,-1,-1,-1
90349,0,-1,-1,-1,-1,-1
90581,0,-1,-1,-1,-1,-1
90813,0,-1,-1,-1,-1,-1
91045,0,-1,-1,-1,-1,-1
91277,0,-1,-1,-1,-1,-1
91510,0,-1,-1,-1,-1,-1
91741,0,-1,-1,-1,-1,-1
91973,0,-1,-1,-1,-1,-1
92205,0,-1,-1,-1,-1,-1
92438,0,-1,-1,-1,-1,-1
92671,0,-1,-1,-1,-1,-1
92903,0,-1,-1,-1,-1,-1
93136,0,-1,-1,-1,-1,-1
93368,0,-1,-1,-1,-1,-1
93600,0,-1,-1,-1,-1,-1
93832,0,-1,-1,-1,-1,-1
94064,0,-1,-1,-1,-1,-1
94297,0,-1,-1,-1,-1,-1
94529,0,-1,-1,-1,-1,-1
94761,0,-1,-1,-1,-1,-1
94994,0,-1,-1,-1,-1,-1
95225,0,-1,-1,-1,-1,-1
95458,0,-1,-1,-1,-1,-1
95690,0,-1,-1,-1,-1,-1
95922,0,-1,-1,-1,-1,-1
96154,0,-1,-1,-1,-1,-1
96386,0,-1,-1,-1,-1,-1
96618,0,-1,-1,-1,-1,-1
96850,0,-1,-1,-1,-1,-1
97083,0,-1,-1,-1,-1,-1
97314,0,-1,-1,-1,-1,-1
97547,0,-1,-1,-1,-1,-1
97778,0,-1,-1,-1,-1,-1
98011,0,-1,-1,-1,-1,-1
98243,0,-1,-1,-1,-1,-1
98474,0,-1,-1,-1,-1,-1
98706,0,-1,-1,-1,-1,-1
98938,0,-1,-1,-1,-1,-1
