=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 11:14:51 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,0,-1,-1,-1,-1,-1
71794,0,-1,-1,-1,-1,-1
72026,0,-1,-1,-1,-1,-1
72258,0,-1,-1,-1,-1,-1
72490,0,-1,-1,-1,-1,-1
72722,0,-1,-1,-1,-1,-1
72954,0,-1,-1,-1,-1,-1
73185,0,-1,-1,-1,-1,-1
73417,0,-1,-1,-1,-1,-1
73649,0,-1,-1,-1,-1,-1
73880,0,-1,-1,-1,-1,-1
74112,0,-1,-1,-1,-1,-1
74344,0,-1,-1,-1,-1,-1
74576,0,-1,-1,-1,-1,-1
74807,0,-1,-1,-1,-1,-1
75039,0,-1,-1,-1,-1,-1
75271,0,-1,-1,-1,-1,-1
75502,0,-1,-1,-1,-1,-1
75734,0,-1,-1,-1,-1,-1
75966,0,-1,-1,-1,-1,-1
76198,0,-1,-1,-1,-1,-1
76430,0,-1,-1,-1,-1,-1
76661,0,-1,-1,-1,-1,-1
76893,0,-1,-1,-1,-1,-1
77125,0,-1,-1,-1,-1,-1
77357,0,-1,-1,-1,-1,-1
77590,0,-1,-1,-1,-1,-1
77821,0,-1,-1,-1,-1,-1
78053,0,-1,-1,-1,-1,-1
78285,0,-1,-1,-1,-1,-1
78518,0,-1,-1,-1,-1,-1
78750,1,2,12,44,8,8
78982,0,-1,-1,-1,-1,-1
79214,0,-1,-1,-1,-1,-1
79446,0,-1,-1,-1,-1,-1
79678,0,-1,-1,-1,-1,-1
79909,0,-1,-1,-1,-1,-1
80141,0,-1,-1,-1,-1,-1
80374,0,-1,-1,-1,-1,-1
80606,0,-1,-1,-1,-1,-1
80838,0,-1,-1,-1,-1,-1
81071,0,-1,-1,-1,-1,-1
81303,0,-1,-1,-1,-1,-1
81536,0,-1,-1,-1,-1,-1
81768,0,-1,-1,-1,-1,-1
82001,0,-1,-1,-1,-1,-1
82233,0,-1,-1,-1,-1,-1
82465,0,-1,-1,-1,-1,-1
82697,0,-1,-1,-1,-1,-1
82929,0,-1,-1,-1,-1,-1
83161,0,-1,-1,-1,-1,-1
83394,0,-1,-1,-1,-1,-1
83626,0,-1,-1,-1,-1,-1
83859,0,-1,-1,-1,-1,-1
84091,0,-1,-1,-1,-1,-1
84323,0,-1,-1,-1,-1,-1
84555,0,-1,-1,-1,-1,-1
84787,0,-1,-1,-1,-1,-1
85018,0,-1,-1,-1,-1,-1
85250,0,-1,-1,-1,-1,-1
85483,0,-1,-1,-1,-1,-1
85714,0,-1,-1,-1,-1,-1
85946,0,-1,-1,-1,-1,-1
86178,0,-1,-1,-1,-1,-1
86410,0,-1,-1,-1,-1,-1
86642,0,-1,-1,-1,-1,-1
86874,0,-1,-1,-1,-1,-1
87106,0,-1,-1,-1,-1,-1
87338,0,-1,-1,-1,-1,-1
87570,0,-1,-1,-1,-1,-1
87802,0,-1,-1,-1,-1,-1
88034,0,-1,-1,-1,-1,-1
88265,0,-1,-1,-1,-1,-1
88497,0,-1,-1,-1,-1,-1
88729,0,-1,-1,-1,-1,-1
88961,0,-1,-1,-1,-1,-1
89193,0,-1,-1,-1,-1,-1
89426,0,-1,-1,-1,-1,-1
89658,0,-1,-1,-1,-1,-1
89891,0,-1,-1,-1,-1,-1
90124,0,-1,-1,-1,-1,-1
90356,0,-1,-1,-1,-1,-1
90588,1,2,20,52,8,8
90820,0,-1,-1,-1,-1,-1
91052,0,-1,-1,-1,-1,-1
91284,0,-1,-1,-1,-1,-1
91516,0,-1,-1,-1,-1,-1
91748,0,-1,-1,-1,-1,-1
91980,1,1,76,28,8,8
92212,1,1,76,28,8,8
92444,1,1,76,28,8,8
92677,0,-1,-1,-1,-1,-1
92910,1,3,60,28,8,8
93142,0,-1,-1,-1,-1,-1
93374,1,1,36,28,8,8
93607,1,1,36,24,8,16
93839,0,-1,-1,-1,-1,-1
94070,0,-1,-1,-1,-1,-1
94302,0,-1,-1,-1,-1,-1
94534,1,3,68,28,8,8
94766,0,-1,-1,-1,-1,-1
94999,0,-1,-1,-1,-1,-1
95231,0,-1,-1,-1,-1,-1
95463,0,-1,-1,-1,-1,-1
95695,0,-1,-1,-1,-1,-1
95927,0,-1,-1,-1,-1,-1
96160,0,-1,-1,-1,-1,-1
96391,0,-1,-1,-1,-1,-1
96624,1,1,12,28,8,8
96855,0,-1,-1,-1,-1,-1
97088,1,3,68,28,8,8
97320,1,3,44,28,8,8
97551,1,1,76,28,8,8
97783,1,1,12,28,8,8
98016,0,-1,-1,-1,-1,-1
98248,0,-1,-1,-1,-1,-1
98480,2,1,12,28,8,8
98480,2,3,44,36,8,8
98712,1,3,44,36,8,8
98944,1,3,44,36,8,8
99176,1,3,44,36,8,8
99408,0,-1,-1,-1,-1,-1
99641,1,3,44,36,8,8
99874,1,3,44,36,8,8
100106,1,3,44,36,8,8
100339,1,3,44,32,8,16
100572,0,-1,-1,-1,-1,-1
100804,0,-1,-1,-1,-1,-1
101036,0,-1,-1,-1,-1,-1
101269,1,3,44,28,8,8
101502,1,3,44,28,8,8
101734,2,3,44,28,8,8
101734,2,1,76,28,8,8
101967,1,3,44,32,8,16
102200,2,3,44,32,8,16
102200,2,1,76,28,8,8
102432,0,-1,-1,-1,-1,-1
102664,1,3,44,28,8,8
102896,1,3,44,28,8,8
103128,1,3,68,28,8,8
103360,0,-1,-1,-1,-1,-1
103592,0,-1,-1,-1,-1,-1
103824,0,-1,-1,-1,-1,-1
104055,0,-1,-1,-1,-1,-1
104288,0,-1,-1,-1,-1,-1
104519,0,-1,-1,-1,-1,-1
104751,0,-1,-1,-1,-1,-1
104983,0,-1,-1,-1,-1,-1
105215,0,-1,-1,-1,-1,-1
105447,0,-1,-1,-1,-1,-1
105678,0,-1,-1,-1,-1,-1
105911,0,-1,-1,-1,-1,-1
106143,0,-1,-1,-1,-1,-1
106375,0,-1,-1,-1,-1,-1
106607,0,-1,-1,-1,-1,-1
106838,0,-1,-1,-1,-1,-1
107071,0,-1,-1,-1,-1,-1
107303,1,1,76,28,8,8
107536,1,1,76,28,8,8
107769,1,1,76,28,8,8
108001,0,-1,-1,-1,-1,-1
108234,0,-1,-1,-1,-1,-1
108466,0,-1,-1,-1,-1,-1
108698,0,-1,-1,-1,-1,-1
108930,0,-1,-1,-1,-1,-1
109161,0,-1,-1,-1,-1,-1
109393,1,3,68,28,8,8
109625,0,-1,-1,-1,-1,-1
109857,0,-1,-1,-1,-1,-1
110089,0,-1,-1,-1,-1,-1
110321,1,1,76,28,8,8
110553,0,-1,-1,-1,-1,-1
110785,2,3,60,28,8,8
110785,2,1,76,28,8,8
111017,1,1,76,28,8,8
111249,0,-1,-1,-1,-1,-1
111481,0,-1,-1,-1,-1,-1
111713,0,-1,-1,-1,-1,-1
111945,0,-1,-1,-1,-1,-1
112177,0,-1,-1,-1,-1,-1
112409,0,-1,-1,-1,-1,-1
112641,0,-1,-1,-1,-1,-1
112873,0,-1,-1,-1,-1,-1
113106,0,-1,-1,-1,-1,-1
113338,0,-1,-1,-1,-1,-1
113570,0,-1,-1,-1,-1,-1
113801,0,-1,-1,-1,-1,-1
114033,0,-1,-1,-1,-1,-1
114265,0,-1,-1,-1,-1,-1
114497,0,-1,-1,-1,-1,-1
114729,0,-1,-1,-1,-1,-1
114961,0,-1,-1,-1,-1,-1
115193,0,-1,-1,-1,-1,-1
115425,0,-1,-1,-1,-1,-1
115657,0,-1,-1,-1,-1,-1
115888,0,-1,-1,-1,-1,-1
116120,0,-1,-1,-1,-1,-1
116352,0,-1,-1,-1,-1,-1
116585,0,-1,-1,-1,-1,-1
116817,0,-1,-1,-1,-1,-1
117049,1,3,28,36,8,8
117281,0,-1,-1,-1,-1,-1
117513,1,3,28,36,8,8
117745,1,3,28,36,8,8
117978,1,3,28,36,8,8
118210,0,-1,-1,-1,-1,-1
118442,0,-1,-1,-1,-1,-1
118674,0,-1,-1,-1,-1,-1
118906,0,-1,-1,-1,-1,-1
1
