=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 09:54:16 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
1,3,73,37,102,
57190,1,3,84,39,100,78
57280,1,3,92,40,116,76
57362,1,3,77,40,86,76
57448,1,3,81,40,94,76
57536,1,3,92,39,116,78
57625,1,3,92,40,116,76
57714,1,3,92,40,116,76
57803,1,3,92,41,116,78
57894,1,3,92,40,116,80
57984,1,3,92,41,116,78
58075,1,3,92,41,116,78
58165,1,3,92,41,116,78
58254,1,3,92,41,116,78
58345,1,3,92,41,116,78
58436,1,3,92,41,116,78
58527,1,3,88,51,124,98
58618,1,3,92,42,116,80
58705,1,3,92,42,116,80
58789,1,3,92,42,116,80
58877,1,3,92,42,116,80
58967,1,3,92,41,116,82
59058,1,3,79,42,90,80
59149,1,3,82,41,96,82
59240,1,3,79,43,90,82
59332,1,3,92,42,116,80
59424,1,3,92,43,116,82
59516,1,3,92,43,116,82
59603,1,3,92,43,116,82
59693,1,3,92,43,116,82
59782,1,3,92,43,116,82
59871,1,3,92,43,116,82
59961,1,3,92,42,116,80
60049,1,3,92,42,116,80
60135,1,3,78,42,88,80
60223,1,3,78,42,88,80
60311,1,3,77,42,86,80
60400,1,3,92,43,116,82
60487,1,3,92,43,116,82
60577,1,3,92,43,116,82
60668,1,3,92,43,116,82
60757,1,3,92,44,116,84
60846,1,3,90,44,112,84
60937,1,3,79,44,90,84
61024,1,3,92,44,116,84
61110,1,3,92,44,116,84
61200,1,3,78,44,88,84
61287,1,3,81,44,94,84
61373,1,3,81,44,94,84
61456,1,3,76,44,84,84
61542,1,3,77,44,86,84
61631,1,3,91,44,114,84
61722,1,3,79,44,90,84
61813,1,3,92,44,116,84
61904,1,3,92,44,116,84
61996,1,3,92,44,116,84
62088,1,3,92,44,116,84
62179,1,3,79,43,90,82
62270,1,3,92,43,116,82
62362,1,3,92,44,116,84
62453,1,3,92,44,116,84
62543,1,3,92,44,116,84
62632,1,3,92,44,116,84
62722,1,3,92,44,116,84
62811,1,3,92,44,116,84
62901,1,3,79,43,86,82
62993,1,3,80,42,88,80
63084,1,3,93,43,114,82
63173,1,3,93,44,114,84
63263,1,3,92,44,116,84
63352,1,3,93,45,114,86
63437,1,3,93,45,114,86
63527,1,3,83,46,94,88
63614,1,3,82,46,92,88
63702,1,3,81,46,90,88
63791,1,3,81,46,90,88
63880,1,3,78,46,84,88
63969,1,3,78,46,84,88
64056,1,3,78,46,84,88
64147,1,3,94,46,116,88
64236,1,3,82,47,92,90
64326,1,3,94,46,116,88
64414,1,3,92,46,116,88
64504,1,3,91,46,110,88
64595,1,3,80,45,88,86
64687,1,3,90,46,112,88
64779,1,3,94,45,116,86
64871,1,3,82,45,92,86
64961,1,3,92,46,116,88
65053,1,3,92,46,116,88
65145,1,3,85,46,102,88
65236,1,3,80,46,92,88
65325,1,3,87,46,102,88
