=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.25 00:04:05 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
0,-1,-1,-1,-1,-1
47040,0,-1,-1,-1,-1,-1
47062,0,-1,-1,-1,-1,-1
47084,0,-1,-1,-1,-1,-1
47106,0,-1,-1,-1,-1,-1
47128,0,-1,-1,-1,-1,-1
47150,0,-1,-1,-1,-1,-1
47172,0,-1,-1,-1,-1,-1
47194,0,-1,-1,-1,-1,-1
47216,0,-1,-1,-1,-1,-1
47238,0,-1,-1,-1,-1,-1
47260,0,-1,-1,-1,-1,-1
47282,0,-1,-1,-1,-1,-1
47304,0,-1,-1,-1,-1,-1
47326,0,-1,-1,-1,-1,-1
47348,0,-1,-1,-1,-1,-1
47370,0,-1,-1,-1,-1,-1
47392,0,-1,-1,-1,-1,-1
47414,0,-1,-1,-1,-1,-1
47436,0,-1,-1,-1,-1,-1
47458,0,-1,-1,-1,-1,-1
47480,0,-1,-1,-1,-1,-1
47502,0,-1,-1,-1,-1,-1
47524,0,-1,-1,-1,-1,-1
47546,0,-1,-1,-1,-1,-1
47568,0,-1,-1,-1,-1,-1
47590,0,-1,-1,-1,-1,-1
47612,0,-1,-1,-1,-1,-1
47634,0,-1,-1,-1,-1,-1
47656,0,-1,-1,-1,-1,-1
47678,0,-1,-1,-1,-1,-1
47700,0,-1,-1,-1,-1,-1
47722,0,-1,-1,-1,-1,-1
47744,0,-1,-1,-1,-1,-1
47766,0,-1,-1,-1,-1,-1
47788,0,-1,-1,-1,-1,-1
47810,0,-1,-1,-1,-1,-1
47832,0,-1,-1,-1,-1,-1
47854,0,-1,-1,-1,-1,-1
47876,0,-1,-1,-1,-1,-1
47898,0,-1,-1,-1,-1,-1
47920,0,-1,-1,-1,-1,-1
47942,0,-1,-1,-1,-1,-1
47964,0,-1,-1,-1,-1,-1
47986,0,-1,-1,-1,-1,-1
48008,0,-1,-1,-1,-1,-1
48030,0,-1,-1,-1,-1,-1
48052,0,-1,-1,-1,-1,-1
48074,0,-1,-1,-1,-1,-1
48096,0,-1,-1,-1,-1,-1
48118,0,-1,-1,-1,-1,-1
48140,0,-1,-1,-1,-1,-1
48162,0,-1,-1,-1,-1,-1
48184,0,-1,-1,-1,-1,-1
48206,0,-1,-1,-1,-1,-1
48228,0,-1,-1,-1,-1,-1
48250,0,-1,-1,-1,-1,-1
48272,0,-1,-1,-1,-1,-1
48294,0,-1,-1,-1,-1,-1
48316,0,-1,-1,-1,-1,-1
48338,0,-1,-1,-1,-1,-1
48360,0,-1,-1,-1,-1,-1
48382,0,-1,-1,-1,-1,-1
48404,0,-1,-1,-1,-1,-1
48426,0,-1,-1,-1,-1,-1
48448,0,-1,-1,-1,-1,-1
48470,0,-1,-1,-1,-1,-1
48492,0,-1,-1,-1,-1,-1
48514,0,-1,-1,-1,-1,-1
48536,0,-1,-1,-1,-1,-1
48558,0,-1,-1,-1,-1,-1
48580,0,-1,-1,-1,-1,-1
48602,0,-1,-1,-1,-1,-1
48624,0,-1,-1,-1,-1,-1
48646,0,-1,-1,-1,-1,-1
48668,0,-1,-1,-1,-1,-1
48690,0,-1,-1,-1,-1,-1
48712,0,-1,-1,-1,-1,-1
48734,0,-1,-1,-1,-1,-1
48756,0,-1,-1,-1,-1,-1
48778,0,-1,-1,-1,-1,-1
48800,0,-1,-1,-1,-1,-1
48822,0,-1,-1,-1,-1,-1
48844,0,-1,-1,-1,-1,-1
48866,0,-1,-1,-1,-1,-1
48888,0,-1,-1,-1,-1,-1
48910,0,-1,-1,-1,-1,-1
48932,0,-1,-1,-1,-1,-1
48954,0,-1,-1,-1,-1,-1
48976,0,-1,-1,-1,-1,-1
48998,0,-1,-1,-1,-1,-1
49020,0,-1,-1,-1,-1,-1
49042,0,-1,-1,-1,-1,-1
49064,0,-1,-1,-1,-1,-1
49086,0,-1,-1,-1,-1,-1
49108,0,-1,-1,-1,-1,-1
49130,0,-1,-1,-1,-1,-1
49152,0,-1,-1,-1,-1,-1
49174,0,-1,-1,-1,-1,-1
49196,0,-1,-1,-1,-1,-1
49218,0,-1,-1,-1,-1,-1
49240,0,-1,-1,-1,-1,-1
49262,0,-1,-1,-1,-1,-1
49284,0,-1,-1,-1,-1,-1
49306,0,-1,-1,-1,-1,-1
49328,0,-1,-1,-1,-1,-1
49350,0,-1,-1,-1,-1,-1
49372,0,-1,-1,-1,-1,-1
49394,0,-1,-1,-1,-1,-1
49416,0,-1,-1,-1,-1,-1
49438,0,-1,-1,-1,-1,-1
49460,0,-1,-1,-1,-1,-1
49482,0,-1,-1,-1,-1,-1
49504,0,-1,-1,-1,-1,-1
49526,0,-1,-1,-1,-1,-1
49548,0,-1,-1,-1,-1,-1
49570,0,-1,-1,-1,-1,-1
49592,0,-1,-1,-1,-1,-1
49614,0,-1,-1,-1,-1,-1
49636,0,-1,-1,-1,-1,-1
49658,0,-1,-1,-1,-1,-1
49680,0,-1,-1,-1,-1,-1
49702,0,-1,-1,-1,-1,-1
49724,0,-1,-1,-1,-1,-1
49746,0,-1,-1,-1,-1,-1
49768,0,-1,-1,-1,-1,-1
49790,0,-1,-1,-1,-1,-1
49812,0,-1,-1,-1,-1,-1
49834,0,-1,-1,-1,-1,-1
49856,0,-1,-1,-1,-1,-1
49878,0,-1,-1,-1,-1,-1
49900,0,-1,-1,-1,-1,-1
49922,0,-1,-1,-1,-1,-1
49944,0,-1,-1,-1,-1,-1
49966,0,-1,-1,-1,-1,-1
49988,0,-1,-1,-1,-1,-1
50010,0,-1,-1,-1,-1,-1
50032,0,-1,-1,-1,-1,-1
50054,0,-1,-1,-1,-1,-1
50076,0,-1,-1,-1,-1,-1
50098,0,-1,-1,-1,-1,-1
50120,0,-1,-1,-1,-1,-1
50142,0,-1,-1,-1,-1,-1
50164,0,-1,-1,-1,-1,-1
50186,0,-1,-1,-1,-1,-1
50208,0,-1,-1,-1,-1,-1
50230,0,-1,-1,-1,-1,-1
50252,0,-1,-1,-1,-1,-1
50274,0,-1,-1,-1,-1,-1
50296,0,-1,-1,-1,-1,-1
50318,0,-1,-1,-1,-1,-1
50340,0,-1,-1,-1,-1,-1
50362,0,-1,-1,-1,-1,-1
50384,0,-1,-1,-1,-1,-1
50406,0,-1,-1,-1,-1,-1
50428,0,-1,-1,-1,-1,-1
50450,0,-1,-1,-1,-1,-1
50472,0,-1,-1,-1,-1,-1
50494,0,-1,-1,-1,-1,-1
50516,0,-1,-1,-1,-1,-1
50538,0,-1,-1,-1,-1,-1
50560,0,-1,-1,-1,-1,-1
50582,0,-1,-1,-1,-1,-1
50604,0,-1,-1,-1,-1,-1
50626,0,-1,-1,-1,-1,-1
50648,0,-1,-1,-1,-1,-1
50670,0,-1,-1,-1,-1,-1
50692,0,-1,-1,-1,-1,-1
50714,0,-1,-1,-1,-1,-1
50736,0,-1,-1,-1,-1,-1
50758,0,-1,-1,-1,-1,-1
50780,0,-1,-1,-1,-1,-1
50802,0,-1,-1,-1,-1,-1
50824,0,-1,-1,-1,-1,-1
50846,0,-1,-1,-1,-1,-1
50868,0,-1,-1,-1,-1,-1
50890,0,-1,-1,-1,-1,-1
50912,0,-1,-1,-1,-1,-1
50934,0,-1,-1,-1,-1,-1
50956,0,-1,-1,-1,-1,-1
50978,0,-1,-1,-1,-1,-1
51000,0,-1,-1,-1,-1,-1
51022,0,-1,-1,-1,-1,-1
51044,0,-1,-1,-1,-1,-1
51066,0,-1,-1,-1,-1,-1
51088,0,-1,-1,-1,-1,-1
51110,0,-1,-1,-1,-1,-1
51132,0,-1,-1,-1,-1,-1
51154,0,-1,-1,-1,-1,-1
51176,0,-1,-1,-1,-1,-1
51198,0,-1,-1,-1,-1,-1
51220,0,-1,-1,-1,-1,-1
51242,0,-1,-1,-1,-1,-1
51264,0,-1,-1,-1,-1,-1
51286,0,-1,-1,-1,-1,-1
51308,0,-1,-1,-1,-1,-1
51330,0,-1,-1,-1,-1,-1
51352,0,-1,-1,-1,-1,-1
51374,0,-1,-1,-1,-1,-1
51396,0,-1,-1,-1,-1,-1
51418,0,-1,-1,-1,-1,-1
51440,0,-1,-1,-1,-1,-1
51462,0,-1,-1,-1,-1,-1
51484,0,-1,-1,-1,-1,-1
51506,0,-1,-1,-1,-1,-1
51528,0,-1,-1,-1,-1,-1
51550,0,-1,-1,-1,-1,-1
51572,0,-1,-1,-1,-1,-1
51594,0,-1,-1,-1,-1,-1
51616,0,-1,-1,-1,-1,-1
51638,0,-1,-1,-1,-1,-1
51660,0,-1,-1,-1,-1,-1
51682,0,-1,-1,-1,-1,-1
51704,0,-1,-1,-1,-1,-1
51726,0,-1,-1,-1,-1,-1
51748,0,-1,-1,-1,-1,-1
51770,0,-1,-1,-1,-1,-1
51792,0,-1,-1,-1,-1,-1
51814,0,-1,-1,-1,-1,-1
51836,0,-1,-1,-1,-1,-1
51858,0,-1,-1,-1,-1,-1
51880,0,-1,-1,-1,-1,-1
51902,0,-1,-1,-1,-1,-1
51924,0,-1,-1,-1,-1,-1
51946,0,-1,-1,-1,-1,-1
51968,0,-1,-1,-1,-1,-1
51990,0,-1,-1,-1,-1,-1
52012,0,-1,-1,-1,-1,-1
52034,0,-1,-1,-1,-1,-1
52056,0,-1,-1,-1,-1,-1
52078,0,-1,-1,-1,-1,-1
52100,0,-1,-1,-1,-1,-1
52122,0,-1,-1,-1,-1,-1
52144,0,-1,-1,-1,-1,-1
52166,0,-1,-1,-1,-1,-1
52188,0,-1,-1,-1,-1,-1
52210,0,-1,-1,-1,-1,-1
52232,0,-1,-1,-1,-1,-1
52254,0,-1,-1,-1,-1,-1
52276,0,-1,-1,-1,-1,-1
52298,0,-1,-1,-1,-1,-1
52320,0,-1,-1,-1,-1,-1
52342,0,-1,-1,-1,-1,-1
52364,0,-1,-1,-1,-1,-1
52386,0,-1,-1,-1,-1,-1
52408,0,-1,-1,-1,-1,-1
52430,0,-1,-1,-1,-1,-1
52452,0,-1,-1,-1,-1,-1
52474,0,-1,-1,-1,-1,-1
52496,0,-1,-1,-1,-1,-1
52518,0,-1,-1,-1,-1,-1
52540,0,-1,-1,-1,-1,-1
52562,0,-1,-1,-1,-1,-1
52584,0,-1,-1,-1,-1,-1
52606,0,-1,-1,-1,-1,-1
52628,0,-1,-1,-1,-1,-1
52650,0,-1,-1,-1,-1,-1
52672,0,-1,-1,-1,-1,-1
52694,0,-1,-1,-1,-1,-1
52716,0,-1,-1,-1,-1,-1
52738,0,-1,-1,-1,-1,-1
52760,0,-1,-1,-1,-1,-1
52782,0,-1,-1,-1,-1,-1
52804,0,-1,-1,-1,-1,-1
52826,0,-1,-1,-1,-1,-1
52848,0,-1,-1,-1,-1,-1
52870,0,-1,-1,-1,-1,-1
52892,0,-1,-1,-1,-1,-1
52914,0,-1,-1,-1,-1,-1
52936,0,-1,-1,-1,-1,-1
52958,0,-1,-1,-1,-1,-1
52980,0,-1,-1,-1,-1,-1
53002,0,-1,-1,-1,-1,-1
53024,0,-1,-1,-1,-1,-1
53046,0,-1,-1,-1,-1,-1
53068,0,-1,-1,-1,-1,-1
53090,0,-1,-1,-1,-1,-1
