=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:20:08 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:64590, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64642, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64694, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64746, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64798, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64850, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64902, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64954, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65006, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65058, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65110, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65162, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65214, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65266, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65318, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65370, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65422, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65474, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65526, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65578, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65630, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65682, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65734, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65786, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65838, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65890, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65942, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65994, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66046, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66098, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66150, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66202, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66254, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66306, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66358, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66410, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66462, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66514, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66566, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66618, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66670, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66722, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66774, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66826, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66878, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66930, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:66982, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67034, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67086, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67138, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67190, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67242, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67294, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67346, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67398, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67450, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67502, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67554, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67606, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67658, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67710, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67762, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67814, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67866, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67918, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:67970, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68022, ID:-1, X:-1, Y:-1, W:-1, H:-1
